"Zaman damgası","Yaşınız nedir?","Cinsiyetiniz nedir?","Eğitim durumunuz nedir?","Bulunduğunuz bölge hangisidir?","Çalışma durumunuz nedir?","Aylık gelir düzeyiniz nedir?","STK’ların toplum üzerindeki etkisini nasıl değerlendiriyorsunuz?","STK’ların finansman sağlama konusunda en büyük zorluğu nedir?","STK’ların gücünü arttırmak için hangi stratejiler izlenmeli?","Topluma fayda sağlamak adına STK'ların etkisini nasıl görüyorsunuz?","STK’lar gençlerin ilgisini çekmek için ne yapmalı?","Toplumun STK’lara olan güvenini nasıl değerlendiriyorsunuz?","STK'ların kurumsal firmalarla ortak projeler yürütmesini destekliyor musunuz?","STK'ların uluslararası iş birlikleri hakkında ne düşünüyorsunuz?","STK'ların toplumsal bilinç oluşturma konusunda başarısı nedir?","Sizce STK'lar hangi alanlarda daha fazla faaliyet göstermeli?","STK'ların bağımsız ve tarafsız olması gerektiğine inanıyor musunuz?","STK'ların devlet desteklerinden faydalanması hakkında düşünceniz nedir?","STK’ların dijital dünyada daha fazla yer alması gerektiğini düşünüyor musunuz?","Bir STK’ya destek vermeyi tercih ettiğiniz yöntemler hangileridir?","Gönüllü olarak çalışmayı tercih etmenizde aşağıdakilerden hangisi en etkili faktör olur?","Kanser ile mücadele eden bu kuruluşlardan hangilerini tanıyorsunuz?","KİTVAK'ı daha önce duymuş muydunuz?","Bir önceki soruya ""Evet"" cevabını verdiyseniz KİTVAK'ı nereden duydunuz?","KİTVAK’ın logosunu daha önce gördünüz mü?","KİTVAK’ın logosunu gördüğünüzde size ne ifade ediyor?","Sizce bu logo KİTVAK'ın amacını doğrudan aktarıyor mu?","Sizce KİTVAK’ın logosu yenilenmeli mi?","Siz olsaydınız KİTVAK Derneğinin logosunda hangi sembollerin olmasını daha doğru bulurdunuz?"
"2024/12/05 2:54:05 ÖS GMT+3","18-24","Erkek","Lise","Ege","Çalışıyorum","30.000 TL ve üzeri","Hiç etkili değil","Devlet desteği azlığı","Liderliği ve yeniliği teşvik etmeli","Hiç etkili değil","Sosyal medyada daha aktif olunmalı","Hiç güvenmiyor","Evet","Önemli","Çok başarısız","Çevre;Eğitim;Sağlık;İnsan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Sosyal medyada paylaşım yapmak","Sosyal çevre oluşturma","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Sağlık ve şifa","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 2:55:27 ÖS GMT+3","55 ve üzeri","Kadın","Lise","Ege","Çalışıyorum","20.000-30.000 TL","Çok etkili","Kaynak yetersizliği","Daha fazla reklam ve tanıtım yapmalı","Çok etkili","Öğrenci liderliğindeki girişimler kolaylaştırılmalı","Çok güveniyor","Evet","Çok önemli","Çok başarılı","Eğitim","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı)","Evet","Sosyal medya (Instagram, Facebook, Twitter, LinkedIn vb.)","Evet, hatırlıyorum ve tanıyorum.","Sağlık ve şifa","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Kesinlikle evet","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 2:56:51 ÖS GMT+3","18-24","Erkek","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Çok etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Dijital katılımı iyileştirilmeli;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli","Etkili","Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Çok önemli","Çok başarılı","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak;Etkinliklere katılmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","Açan Çiçek (KİTVAK'ın hastalara sunduğu umut ve iyileşme sürecini vurgular)."
"2024/12/05 2:57:40 ÖS GMT+3","25-34","Erkek","Üniversite","Marmara","Çalışıyorum","30.000 TL ve üzeri","Etkili","Kaynak yetersizliği","İş birliği artırma;Dijital katılımı iyileştirilmeli;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli","Etkili","Dijital katılım iyileştirilmeli;Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Güveniyor","Evet","Önemli","Başarılı","Çevre;Eğitim;İnsan hakları","Evet","Kısmen destekliyorum","Kesinlikle evet","Maddi bağış;Gönüllü olarak çalışmak;Etkinliklere katılmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Hiçbir şey çağrıştırmıyor","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kesinlikle evet","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 3:01:35 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Az etkili","Bağış eksikliği","İş birliği artırma","Az etkili","Liderliği ve yeniliği teşvik etmeli","Orta seviyede","Evet","Çok önemli","Orta düzeyde","İnsan hakları","Evet","Tamamen destekliyorum","Evet","Gönüllü olarak çalışmak;Etkinliklere katılmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Evet","Hastaneler veya sağlık kuruluşları","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 3:08:42 ÖS GMT+3","35-44","Erkek","Yüksek Lisans","Ege","Çalışıyorum","30.000 TL ve üzeri","Hiç etkili değil","Güven","Eğitim ortaklıkları geliştirilmeli","Az etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı","Hiç güvenmiyor","Kararsızım","Önemli","Çok başarısız","Çevre;Eğitim;İnsan hakları","Evet","Desteklemiyorum","Evet","Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Sosyal çevre oluşturma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 3:11:29 ÖS GMT+3","18-24","Erkek","Üniversite","Ege","Öğrenci","10.000-20.000 TL","Orta düzeyde","Yönetim sorunları","Eğitim ortaklıkları geliştirilmeli","Orta düzeyde","Sosyal medyada daha aktif olunmalı","Orta seviyede","Kararsızım","Çok önemli","Orta düzeyde","Eğitim;Sağlık;İnsan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Etkinliklere katılmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Hiçbir şey çağrıştırmıyor","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kararsızım","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 3:26:53 ÖS GMT+3","18-24","Kadın","Üniversite","Marmara","Reklam","5.000-10.000 TL","Orta düzeyde","Kaynak yetersizliği","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Eğitim ortaklıkları geliştirilmeli;Gönüllüleri tanıtmalı ve motive etmeli","Etkili","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Kampüs varlığı güçlendirilmeli;Liderliği ve yeniliği teşvik etmeli;Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Orta seviyede","Evet","Önemli","Orta düzeyde","Çevre;Eğitim;İnsan hakları","Kararsızım","Kısmen destekliyorum","Kesinlikle evet","Maddi bağış;Etkinliklere katılmak;Sosyal medyada paylaşım yapmak","Sosyal çevre oluşturma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kesinlikle evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 3:27:51 ÖS GMT+3","25-34","Kadın","Üniversite","Ege","Çalışıyorum","30.000 TL ve üzeri","Az etkili","Bağış eksikliği","Daha fazla reklam ve tanıtım yapmalı;İş birliği artırma;Eğitim ortaklıkları geliştirilmeli","Orta düzeyde","Dijital katılım iyileştirilmeli;Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Kampüs varlığı güçlendirilmeli;Sosyal medyada daha aktif olunmalı;Gençlik programları oluşturulmalı","Az güveniyor","Evet","Önemli","Başarılı","Sağlık;İnsan hakları;Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Maddi bağış;Gönüllü olarak çalışmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;Kanser Savaşçıları Derneği;TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Eğitim ve farkındalık","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","Açan Çiçek (KİTVAK'ın hastalara sunduğu umut ve iyileşme sürecini vurgular)."
"2024/12/05 3:34:28 ÖS GMT+3","55 ve üzeri","Erkek","Üniversite","Ege","Emekli","30.000 TL ve üzeri","Orta düzeyde","Kaynak yetersizliği","İş birliği artırma;Öğrenci liderliğindeki girişimleri kolaylaştırmalı;Eğitim ortaklıkları geliştirilmeli","Orta düzeyde","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Eğitim ortaklıkları geliştirilmeli;Esnek gönüllü seçenekleri sunulmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Az güveniyor","Evet","Çok önemli","Başarısız","Çevre;Eğitim;Sağlık;İnsan hakları","Evet","Kısmen destekliyorum","Kesinlikle evet","Maddi bağış;Etkinliklere katılmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","Hastaneler veya sağlık kuruluşları","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kesinlikle evet","Elleri içeren logo merkezinde acan çiçek veya gunes sembolü olabilir."
"2024/12/05 3:54:07 ÖS GMT+3","18-24","Kadın","Üniversite","Ege","Öğrenci","0-5.000 TL","Az etkili","Devlet desteği azlığı","Esnek gönüllü seçenekleri sunmalı","Az etkili","Etkinlik düzenlenmeli","Az güveniyor","Evet","Önemli","Orta düzeyde","Çevre;İnsan hakları","Kararsızım","Tamamen destekliyorum","Evet","Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Mesleki deneyim kazanma","LÖSEV (Lösemili Çocuklar Vakfı)","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Evet","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
"2024/12/05 4:01:54 ÖS GMT+3","25-34","Kadın","Yüksek Lisans","Ege","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Devlet desteği azlığı","Gönüllüleri tanıtmalı ve motive etmeli","Etkili","Etkinlik düzenlenmeli","Orta seviyede","Evet","Çok önemli","Orta düzeyde","Hayvan hakları","Evet","Kısmen destekliyorum","Evet","Maddi bağış;Gönüllü olarak çalışmak;Etkinliklere katılmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı)","Evet","Hastaneler veya sağlık kuruluşları","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Evet, logo KİTVAK'ın amacını açıkça yansıtıyor.","Hayır","Elleri içeren bir sembol (hastalara ve ailelerine verilen desteği temsil eder)."
"2024/12/05 4:04:03 ÖS GMT+3","25-34","Erkek","Üniversite","Ege","Personel trainer","30.000 TL ve üzeri","Az etkili","Devlet desteği azlığı","Daha fazla reklam ve tanıtım yapmalı;Öğrenci liderliğindeki girişimleri kolaylaştırmalı;Eğitim ortaklıkları geliştirilmeli","Etkili","Esnek gönüllü seçenekleri sunulmalı;Sosyal medyada daha aktif olunmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Hiç güvenmiyor","Kararsızım","Çok önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Kesinlikle evet","Etkinliklere katılmak;Sosyal medyada paylaşım yapmak;Bilgi paylaşımı veya önerilerde bulunmak","Topluma katkıda bulunma","LÖSEV (Lösemili Çocuklar Vakfı);Türk Kanser Derneği","Hayır","Hiç duymadım","Hayır, hiç görmedim.","Hiçbir şey çağrıştırmıyor","Hayır, logo KİTVAK'ın amacını tam olarak yansıtmıyor.","Kesinlikle evet","Kalp simgesi (sevgi, şefkat ve yaşamı simgelemek için)."
"2024/12/05 4:10:03 ÖS GMT+3","25-34","Kadın","Yüksek Lisans","Ege","Çalışıyorum","30.000 TL ve üzeri","Orta düzeyde","Yönetim sorunları","İş birliği artırma;Liderliği ve yeniliği teşvik etmeli;Gönüllüleri tanıtmalı ve motive etmeli","Orta düzeyde","Öğrenci liderliğindeki girişimler kolaylaştırılmalı;Liderliği ve yeniliği teşvik etmeli;Esnek gönüllü seçenekleri sunulmalı;Etkinlik düzenlenmeli;Gençlik programları oluşturulmalı","Az güveniyor","Kararsızım","Çok önemli","Orta düzeyde","Çevre;Eğitim;Sağlık;İnsan hakları;Hayvan hakları","Evet","Tamamen destekliyorum","Evet","Maddi bağış;Sosyal medyada paylaşım yapmak","Yardım etme isteği","LÖSEV (Lösemili Çocuklar Vakfı);KAÇUV (Kanserli Çocuklara Umut Vakfı);Türk Kanser Derneği;KİTVAK (Kemik İliği Transplantasyon ve Onkoloji Merkezi Kurma ve Geliştirme Vakfı);Kanser Savaşçıları Derneği;TÜRKÖK (Türkiye Kök Hücre Koordinasyon Merkezi)","Evet","Hastaneler veya sağlık kuruluşları","Evet, hatırlıyorum ve tanıyorum.","Dayanışma ve yardımlaşma","Kısmen, bazı unsurlar açıklayıcı ama daha fazla netlik eklenebilir.","Kararsızım","DNA sarmalı (KİTVAK’ın bilimsel ve tıbbi kimliğini vurgular)."
